i,timestamp,t_time,collisions,base_t_time,satellite,sat_r_time
0,6198.167547036429,6235,0,6236,9,6236.755090627368
2,6231.0316117116945,6237,0,6238,9,6238.755124555939
1,6249.508756592261,6252,0,6253,9,6253.75537906022
2,6241.447470462304,6253,0,6254,9,6254.75539602968
4,6238.47791112734,6254,0,6255,9,6255.755412999454
0,6254.378553650658,6255,0,6256,9,6256.755429969541
5,6252.529618187083,6259,0,6260,9,6260.755497853024
3,6269.988120856669,6275,0,6276,9,6276.755769437071
1,6270.973034749055,6280,0,6281,9,6281.755854323518
4,6271.333326159264,6281,0,6282,9,6282.755871301746
1,6283.910786477441,6288,0,6289,9,6289.7559901581
1,6297.213651404388,6302,0,6303,9,6303.756227916755
1,6306.619771111231,6315,0,6316,9,6316.756448747462
3,6310.571336409101,6318,0,6319,9,6319.756499715884
4,6314.209620033567,6328,0,6329,9,6329.756669630899
5,6323.5514448881695,6338,0,6339,9,6339.756839577085
0,6332.650979557948,6346,0,6347,9,6347.756975556463
0,6336.273432449758,6347,0,6348,9,6348.756992555286
5,6335.166915650032,6348,0,6349,9,6349.757009554421
2,6333.288742550955,6349,0,6350,9,6350.757026553866
3,6337.193809493036,6350,0,6351,9,6351.757043553624
0,6344.8436434870155,6353,0,6354,9,6354.757094554761
3,6342.9774345322785,6361,1,6362,9,6362.757230571486
5,6340.714205240404,6377,1,6378,9,6378.757502664628
3,6371.101216437723,6384,0,6385,9,6385.757621730387
4,6341.7961477917315,6386,1,6387,9,6387.75765575197
5,6359.497465845529,6393,1,6394,9,6394.757774837284
3,6379.421089706049,6395,0,6396,9,6396.757808864452
4,6343.475571015459,6399,0,6400,9,6400.75787692251
1,6362.032785065906,6401,1,6402,9,6402.7579109534
4,6346.307095214045,6405,0,6406,9,6406.7579790189
4,6346.735730928824,6407,0,6408,9,6408.758013053511
1,6398.0415541933635,6409,0,6410,9,6410.75804708936
2,6411.799796896849,6418,0,6419,9,6419.758200266019
5,6382.067784054647,6421,1,6422,9,6422.758251330481
1,6422.946209441115,6427,0,6428,9,6428.7583534677615
4,6349.323341971806,6432,1,6433,9,6433.758438590673
5,6386.131821779313,6434,0,6435,9,6435.758472642003
5,6405.710172647644,6437,0,6438,9,6438.758523721318
3,6398.007543989755,6439,1,6440,9,6440.758557775741
4,6374.696195670717,6448,0,6449,9,6449.758711035945
2,6443.636009341089,6455,0,6456,9,6456.758830255631
4,6377.035135214192,6462,0,6463,9,6463.75894949045
4,6378.545727719896,6469,0,6470,9,6470.759068740393
3,6403.9894156332875,6480,1,6481,9,6481.7592561637
5,6407.349707303827,6484,1,6485,9,6485.75932432688
4,6387.9781351102365,6485,0,6486,9,6486.759341368445
5,6440.55594741144,6492,0,6493,9,6493.7594606680295
2,6484.305366165575,6499,0,6500,9,6500.759579982706
0,6463.927807581197,6502,1,6503,9,6503.759631122185
4,6407.995726630299,6509,1,6510,9,6510.759750458406
4,6420.838258127524,6514,0,6515,9,6515.759835707794
0,6485.438789396683,6516,0,6517,9,6517.759869809701
2,6487.298687392461,6521,1,6522,9,6522.75995506985
2,6510.70445992446,6522,0,6523,9,6523.759972122802
4,6445.4013673813215,6525,0,6526,9,6526.760023283501
5,6484.144543590772,6529,1,6530,9,6530.7600915020685
4,6466.111681268678,6531,0,6532,9,6532.760125613195
4,6482.140121380593,6533,0,6534,9,6534.76015972555
1,6466.974235545557,6537,2,6538,9,6538.760227953944
0,6493.410380932793,6542,1,6543,9,6543.760313246345
4,6488.421508923173,6545,0,6546,9,6546.760364425467
0,6514.341836573514,6549,0,6550,9,6550.760432668592
4,6497.005771416865,6555,0,6556,9,6556.760535042481
1,6495.946321408332,6557,1,6558,9,6558.7605691695635
5,6568.730006436351,6570,0,6571,9,6571.7607910254765
4,6543.567111418686,6578,1,6579,9,6579.76092757792
1,6569.356081001234,6584,0,6585,9,6585.7610300051065
2,6548.09512116777,6589,1,6590,9,6590.761115369509
1,6584.296135775581,6596,0,6597,9,6597.761234892515
